[2017-06-02 14:50:05] ShadowsocksR started on port 2046
[2017-06-03 00:54:47] ShadowsocksR started on port 2046
[2017-06-03 00:55:33] ShadowsocksR started on port 2047
[2017-06-03 00:55:56] ShadowsocksR started on port 2047
[2017-06-03 00:56:26] ShadowsocksR started on port 2046
[2017-06-03 00:56:58] ShadowsocksR started on port 2046
[2017-06-03 03:48:51] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:51:47] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:51:47] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:53:28] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:54:44] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:54:44] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:54:44] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:54:44] failed to recv data in HandshakeReceive2Callback
[2017-06-03 03:54:55] [Error] System.Exception: 端口已被占用
   在 Shadowsocks.Controller.Listener.Start(Configuration config, Int32 port)
   在 Shadowsocks.Controller.ShadowsocksController.Reload()
[2017-06-03 03:55:09] ShadowsocksR started on port 2047
[2017-06-03 03:55:57] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:58] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:58] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:58] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:58] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:55:59] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:00] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:01] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:02] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:03] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:04] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:05] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:06] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:07] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:08] [Warn] Proxy server [SS+KCP3(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:08] [Warn] Proxy server [SS+KCP2(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
[2017-06-03 03:56:08] [Warn] Proxy server [SS+KCP1(seaof-153-125-235-210.jp-tokyo-15.arukascloud.io)] connection refused
